bromeliad_id,vessel,shading,subsidy_id,capacity_mL,longest_leaf_length_mm,n_leaves
1,wax,shade,1,23,19.4,21
2,wax,shade,2,49,19.9,23
3,wax,shade,3,36,18.7,22
4,wax,shade,4,37,18.7,22
5,wax,light,5,18,17.3,17
6,wax,shade,6,44,21.5,24
7,wax,light,7,20,20.6,18
8,wax,light,8,25,18.6,19
9,wax,shade,9,27,20.1,23
10,wax,shade,10,31,16.8,21
11,wax,light,11,20,17.6,17
12,wax,light,12,28,18.1,23
13,wax,light,13,29,18.7,19
14,wax,light,14,54,21,24
15,wax,shade,15,20,18.5,19
16,wax,shade,16,35,18.2,24
17,wax,shade,17,28,19.3,22
18,wax,light,18,29,20.1,20
19,wax,light,19,19,19.2,21
20,wax,light,20,21,19.4,21
21,wax,light,21,31,20.7,21
22,wax,shade,22,26,19,22
23,wax,light,23,41,20.1,18
24,wax,shade,24,44,21.6,22
25,bromeliad,light,25,48,20.7,25
26,bromeliad,light,26,46,18.5,21
27,bromeliad,light,27,39,18,23
28,bromeliad,light,28,25,16.1,19
29,bromeliad,shade,29,28,17.7,19
30,bromeliad,shade,30,22,16.4,22
31,bromeliad,light,31,46,20.9,25
32,bromeliad,light,32,28,18.2,18
33,bromeliad,shade,33,33,20.4,23
34,bromeliad,shade,34,24,17.8,18
35,bromeliad,light,35,16,17.2,19
36,bromeliad,shade,36,48,19.5,22
37,bromeliad,shade,37,36,18.5,23
38,bromeliad,light,38,38,19.2,21
39,bromeliad,light,39,50,19.8,22
40,bromeliad,light,40,47,19,24
41,bromeliad,shade,41,23,18.3,20
42,bromeliad,shade,42,64,21.9,28
43,bromeliad,shade,43,55,21.6,20
44,bromeliad,light,44,52,20.7,19
45,bromeliad,light,45,47,21.2,24
46,bromeliad,shade,46,37,18.6,20
47,bromeliad,shade,47,38,21.1,24
48,bromeliad,shade,48,40,21.3,21
B1,wax,,,7,17,18
B2,bromeliad,,,14,16.1,17
B3,bromeliad,,,19,20.1,20
B4,bromeliad,,,12,16.5,21
B5,bromeliad,,,13,20,15
T1,bromeliad,light,49,52,20.7,19
T2,wax,light,50,54,21,24
T3,bromeliad,light,51,55,21.6,20
T4,bromeliad,light,52,38,21.1,24
