chlorophyll_meas_id,visit_id,bromeliad_id,v_filtered,solvent_added,v_water_entered,v_solvent_entered,chlorophyll_raw,,,
1,1,acetone,0,0,1,1,-0.02,,,
2,1,1,4.3,5,1,1,0.87,,,
3,1,2,4.4,5,1,1,0.76,,,
4,1,3,4.7,5,1,1,0.83,,,
5,1,4,4.4,5,1,1,0.77,,,
6,1,5,4.4,5,1,1,0.95,,,
7,1,6,4.6,5,1,1,0.55,,,
8,1,7,4.6,5,1,1,0.54,,,
9,1,8,4.8,5,1,1,0.35,,,
10,1,9,4.7,5,1,1,0.39,,,
11,1,10,0,,,,,,,
12,1,acetone,0,0,1,1,-0.06,,,
13,1,11,1,5,1,1,0.77,,,
14,1,12,4.5,5,1,1,0.57,,,
15,1,13,5,5,1,1,0.72,,,
16,1,14,5,5,1,1,0.6,,,
17,1,15,3.6,5,1,1,0.79,,,
18,1,16,4.8,5,1,1,0.81,,,
19,1,17,4.4,5,1,1,0.42,,,
20,1,18,3.8,5,1,1,0.99,,,
21,1,19,4.8,5,1,1,0.5,,,
22,1,20,4.8,5,1,1,0.49,,,
23,1,21,4.8,5,1,1,0.58,,,
24,1,acetone,0,0,1,1,-0.05,,,
25,1,22,4.6,5,1,1,0.47,,,
26,1,23,4.3,5,1,1,0.5,,,
27,1,24,4.8,5,1,1,0.49,,,
28,1,25,4.6,5,1,1,1.14,,,
29,1,26,4.8,5,1,1,0.42,,,
30,1,27,4.6,5,1,1,0.64,,,
31,1,28,4.8,5,1,1,0.54,,,
32,1,29,4.6,5,1,1,0.42,,,
33,1,30,4.4,5,1,1,0.83,,,
34,1,acetone,0,0,1,1,-0.03,,,
35,1,31,4.4,5,1,1,1.29,,,
36,1,32,4.4,5,1,1,1.03,,,
37,1,33,4.2,5,1,1,0.87,,,
38,1,34,4.6,5,1,1,6.89,,,
39,1,35,4.8,5,1,1,0.61,,,
40,1,36,4.8,5,1,1,1.59,,,
41,1,37,4.4,5,1,1,0.88,,,
42,1,38,4.4,5,1,1,0.28,,,
43,1,39,4.4,5,1,1,0.86,,,
44,1,40,4.2,5,1,1,0.39,,,
45,1,acetone,0,0,1,1,-0.03,,,
46,1,41,4.4,5,1,1,1.12,,,
