bact_b,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0354,0.0349,0.0346,0.0348,0.042,0.0352,0.0379,0.0378,0.0361,0.0386,0.0383,0.0356
B,0.1358,0.1332,0.1325,0.0441,0.0471,0.0446,0.0397,0.037,0.0439,0.0443,0.0444,0.037
C,0.047,0.0707,0.0414,0.0441,0.0439,0.0443,0.0352,0.0375,0.0365,0.036,0.0367,0.0398
D,0.0509,0.1139,0.0462,0.0441,0.0441,0.0444,0.0412,0.0362,0.0352,0.036,0.0349,0.1342
E,0.0524,0.0685,0.2524,0.0441,0.0437,0.0441,0.0351,0.0359,0.0378,0.0583,0.0348,0.0348
F,0.0675,0.0725,0.0678,0.0441,0.0438,0.0445,0.0392,0.0353,0.038,0.0376,0.0366,0.0384
G,0.0942,0.1039,0.0939,0.0441,0.0435,0.0443,0.0364,0.0352,0.0358,0.0359,0.0398,0.036
H,0.05,0.0446,0.0776,0.0438,0.0439,0.0445,0.0352,0.0362,0.035,0.0371,0.0357,0.0362
,,,,,,,,,,,,
bact_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,,0,0,,,,,,,,,
B,250,250,250,,,,,,,,,
C,7.7,7.7,7.7,,,,,,,,,
D,15.5,15.5,15.5,,,,,,,,,
E,31.3,31.3,31.3,,,,,,,,,
F,62.5,62.5,62.5,,,,,,,,,
G,125,125,125,,,,,,,,,
H,3.8,3.8,3.8,,,,,,,,,
,,,,,,,,,,,,
bact_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,5,6
B,,,,,,,7,8,9,,,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20201028,20201028,20201028,,,,20201028,20201028,20201028,20201028,20201028,20201028
B,20201028,20201028,20201028,,,,20201028,20201028,20201028,,20201028,20201028
C,20201028,20201028,20201028,,,,20201028,20201028,20201028,20201028,20201028,20201028
D,20201028,20201028,20201028,,,,20201028,20201028,20201028,20201028,20201028,20201028
E,20201028,20201028,20201028,,,,20201028,20201028,20201028,20201028,20201028,20201028
F,20201028,20201028,20201028,,,,20201028,20201028,20201028,20201028,20201028,20201028
G,20201028,20201028,20201028,,,,20201028,20201028,20201028,20201028,20201028,20201028
H,20201028,20201028,20201028,,,,20201028,20201028,20201028,20201028,20201028,20201028
