bact_a,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0362,0.0357,0.0354,0.0469,0.0473,0.0476,0.062,0.091,0.1705,0.0596,0.0588,0.1061
B,0.0374,0.0357,0.0352,0.0465,0.0467,0.0471,0.0861,0.0618,0.0908,0.0468,0.0468,0.0511
C,0.037,0.0362,0.0359,0.0466,0.0463,0.0474,0.062,0.1049,0.061,0.0541,0.1384,0.1123
D,0.0361,0.0361,0.0609,0.0465,0.0463,0.047,0.0514,0.0907,0.0641,0.0509,0.0452,0.0539
E,0.0387,0.0377,0.0369,0.0466,0.0467,0.047,0.0549,0.0675,0.0857,0.0532,0.0686,0.0502
F,0.042,0.0397,0.0392,0.0469,0.0465,0.047,0.054,0.0635,0.0804,0.0691,0.0581,0.0703
G,0.0421,0.0413,0.0424,0.0471,0.0466,0.0472,0.0561,0.0477,0.0764,0.047,0.1075,0.0555
H,0.0552,0.0533,0.0507,0.0464,0.0463,0.0469,0.1066,0.0598,0.0725,0.055,0.0708,0.0506
,,,,,,,,,,,,
bact_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.015625,0.015625,0.015625,,,,,,,,,
C,0.03125,0.03125,0.03125,,,,,,,,,
D,0.0625,0.0625,0.0625,,,,,,,,,
E,0.125,0.125,0.125,,,,,,,,,
F,0.25,0.25,0.25,,,,,,,,,
G,0.5,0.5,0.5,,,,,,,,,
H,1,1,1,,,,,,,,,
,,,,,,,,,,,,
bact_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,5,6
B,,,,,,,7,8,9,,,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20201105,20201105,20201105,,,,20201105,20201105,20201105,20201105,20201105,20201105
B,20201105,20201105,20201105,,,,20201105,20201105,20201105,,,20201105
C,20201105,20201105,20201105,,,,20201105,20201105,20201105,20201105,20201105,20201105
D,20201105,20201105,20201105,,,,20201105,20201105,20201105,20201105,20201105,20201105
E,20201105,20201105,20201105,,,,20201105,20201105,20201105,20201105,20201105,20201105
F,20201105,20201105,20201105,,,,20201105,20201105,20201105,20201105,20201105,20201105
G,20201105,20201105,20201105,,,,20201105,20201105,20201105,20201105,20201105,20201105
H,20201105,20201105,20201105,,,,20201105,20201105,20201105,20201105,20201105,20201105
