po4_b,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0574,0.0558,0.0573,0.044,0.0437,0.0449,0.1494,0.5533,0.3921,0.3039,0.4737,0.5065
B,0.0574,0.0566,0.0567,0.0438,0.0434,0.044,0.4728,0.2921,0.4508,0.044,0.0441,0.2155
C,0.0605,0.0608,0.0608,0.0437,0.0434,0.0441,0.5279,0.5265,0.2332,0.2446,0.4614,0.6043
D,0.0653,0.0654,0.0617,0.0435,0.0431,0.0439,0.1565,0.4041,0.3203,0.1528,0.1822,0.1219
E,0.1186,0.095,0.1039,0.0435,0.0432,0.0438,0.1888,0.3962,0.4584,0.2271,0.2137,0.2168
F,0.1478,0.1378,0.1367,0.0435,0.0425,0.0441,0.2398,0.4156,0.3637,0.2227,0.2226,0.2568
G,0.2307,0.2692,0.292,0.0435,0.0429,0.0434,0.2674,0.152,0.3274,0.1802,0.348,0.2484
H,0.1752,0.1607,0.1774,0.0432,0.0424,0.0432,0.2803,0.2472,0.4029,0.1872,0.208,0.1663
,,,,,,,,,,,,
po4_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.1,0.1,0.1,,,,,,,,,
C,0.5,0.5,0.5,,,,,,,,,
D,1,1,1,,,,,,,,,
E,5,5,5,,,,,,,,,
F,7.5,7.5,7.5,,,,,,,,,
G,20,20,20,,,,,,,,,
H,10,10,10,,,,,,,,,
,,,,,,,,,,,,
po4_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,5,6
B,,,,,,,7,8,9,,,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20201105,20201105,20201105,,,,20201105,20201105,20201105,20201105,20201105,20201105
B,20201105,20201105,20201105,,,,20201105,20201105,20201105,,,20201105
C,20201105,20201105,20201105,,,,20201105,20201105,20201105,20201105,20201105,20201105
D,20201105,20201105,20201105,,,,20201105,20201105,20201105,20201105,20201105,20201105
E,20201105,20201105,20201105,,,,20201105,20201105,20201105,20201105,20201105,20201105
F,20201105,20201105,20201105,,,,20201105,20201105,20201105,20201105,20201105,20201105
G,20201105,20201105,20201105,,,,20201105,20201105,20201105,20201105,20201105,20201105
H,20201105,20201105,20201105,,,,20201105,20201105,20201105,20201105,20201105,20201105
