no2_b,1,2,3,4,5,6,7,8,9,10,11,12
A,0.042,0.0413,0.0394,0.041,0.0409,0.0387,0.0599,0.0661,0.068,0.062,0.0549,0.0593
B,0.0426,0.0434,0.043,0.0393,0.0398,0.0397,0.0805,0.0582,0.085,0.0389,0.0391,0.0535
C,0.0533,0.0521,0.0516,0.0408,0.0395,0.0409,0.0585,0.0756,0.0536,0.0465,0.0498,0.1094
D,0.0633,0.0649,0.0634,0.0486,0.0409,0.0405,0.0487,0.0915,0.4449,0.0487,0.0605,0.0536
E,0.1621,0.1682,0.1646,0.0391,0.0403,0.0404,0.0532,0.0672,0.0814,0.0552,0.0544,0.0528
F,0.2929,0.2889,0.2916,0.0409,0.0409,0.0574,0.05,0.0639,0.0813,0.0507,0.0545,0.0692
G,0.5307,0.5244,0.5303,0.0406,0.0403,0.0429,0.0639,0.0462,0.0642,0.0481,0.0771,0.0532
H,1.2334,1.2084,1.1617,0.0404,0.0389,0.0396,0.0693,0.0535,0.0621,0.0579,0.0604,0.0554
,,,,,,,,,,,,
no2no3_b,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0666,0.0822,0.0837,0.0839,0.0813,0.0695,0.1266,0.1087,0.1071,0.1315,0.1203,0.0933
B,0.0809,0.0658,0.078,0.0763,0.076,0.0786,0.1363,0.0997,0.1003,0.0738,0.0613,0.1083
C,0.0824,0.0831,0.0828,0.0792,0.0792,0.0803,0.1049,0.0952,0.0944,0.1132,0.0901,0.1219
D,0.0956,0.0944,0.0943,0.0852,0.0882,0.0846,0.0851,0.1079,0.1025,0.0601,0.0965,0.0985
E,0.2036,0.1955,0.1915,0.1323,0.1343,0.1368,0.0809,0.0995,0.1197,0.1118,0.1042,0.11
F,0.314,0.3123,0.3155,0.1968,0.2012,0.1998,0.0902,0.0967,0.0999,0.096,0.1129,0.1019
G,0.5396,0.5346,0.5403,0.3401,0.3343,0.3311,0.097,0.0946,0.0973,0.1036,0.1132,0.1012
H,1.1734,1.1514,1.1689,0.7639,0.7576,0.7334,0.11,0.0959,0.0914,0.1024,0.0968,0.1038
,,,,,,,,,,,,
no2_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.1,0.1,0.1,,,,,,,,,
C,0.5,0.5,0.5,,,,,,,,,
D,1,1,1,,,,,,,,,
E,5,5,5,,,,,,,,,
F,10,10,10,,,,,,,,,
G,20,20,20,,,,,,,,,
H,50,50,50,,,,,,,,,
,,,,,,,,,,,,
no3_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,0,0,0,,,,,,
B,,,,0.1,0.1,0.1,,,,,,
C,,,,0.5,0.5,0.5,,,,,,
D,,,,1,1,1,,,,,,
E,,,,5,5,5,,,,,,
F,,,,10,10,10,,,,,,
G,,,,20,20,20,,,,,,
H,,,,50,50,50,,,,,,
,,,,,,,,,,,,
no2no3_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,5,6
B,,,,,,,7,8,9,,,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109
B,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,,,20201109
C,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109
D,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109
E,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109
F,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109
G,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109
H,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109
