nh4_a,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0757,0.0751,0.0726,0.046,0.0472,0.0426,0.0726,0.0581,0.0666,0.0697,0.0395,0.0633
B,0.0616,0.0651,0.0742,0.046,0.0432,0.0456,0.079,0.0647,0.068,0.0367,0.0408,0.0655
C,0.0622,0.0634,0.0616,0.0458,0.0454,0.0466,0.0576,0.0685,0.0652,0.062,0.063,0.0678
D,0.0685,0.0651,0.0689,0.0468,0.0463,0.0771,0.0599,0.0666,0.0636,0.0645,0.0621,0.0606
E,0.1104,0.1159,0.1147,0.0445,0.0455,0.0461,0.0666,0.0786,0.0689,0.063,0.0634,0.0643
F,0.1236,0.1656,0.1619,0.0458,0.0461,0.0463,0.0615,0.072,0.0798,0.058,0.057,0.0611
G,0.2784,0.2593,0.2648,0.0459,0.0459,0.046,0.0697,0.0632,0.0882,0.075,0.0649,0.0803
H,0.5486,0.5353,0.5432,0.0459,0.0451,0.0454,0.0889,0.0728,0.0852,0.0656,0.0677,0.0622
,,,,,,,,,,,,
nh4_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.1,0.1,0.1,,,,,,,,,
C,0.5,0.5,0.5,,,,,,,,,
D,1,1,1,,,,,,,,,
E,5,5,5,,,,,,,,,
F,10,10,10,,,,,,,,,
G,20,20,20,,,,,,,,,
H,50,50,50,,,,,,,,,
,,,,,,,,,,,,
nh4_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,,6
B,,,,,,,7,8,9,,,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20201123,20201123,20201123,,,,20201123,20201123,20201123,20201123,,20201123
B,20201123,20201123,20201123,,,,20201123,20201123,20201123,,,20201123
C,20201123,20201123,20201123,,,,20201123,20201123,20201123,20201123,20201123,20201123
D,20201123,20201123,20201123,,,,20201123,20201123,20201123,20201123,20201123,20201123
E,20201123,20201123,20201123,,,,20201123,20201123,20201123,20201123,20201123,20201123
F,20201123,20201123,20201123,,,,20201123,20201123,20201123,20201123,20201123,20201123
G,20201123,20201123,20201123,,,,20201123,20201123,20201123,20201123,20201123,20201123
H,20201123,20201123,20201123,,,,20201123,20201123,20201123,20201123,20201123,20201123
