no2_a,1,2,3,4,5,6,7,8,9,10,11,12
A,0.041,0.0413,0.0403,0.0416,0.0414,0.0413,0.0503,0.0498,0.0482,0.0496,0.0513,0.0404
B,0.0422,0.0436,0.0444,0.0407,0.0411,0.0412,0.0667,0.0528,0.0464,0.0502,0.0487,0.0495
C,0.0541,0.053,0.0534,0.0411,0.0409,0.0408,0.0487,0.0549,0.0454,0.0476,0.0463,0.0544
D,0.0651,0.065,0.0635,0.0412,0.0412,0.0411,0.048,0.0499,0.0441,0.0464,0.0502,0.0501
E,0.1692,0.1669,0.168,0.0406,0.0412,0.0409,0.0505,0.0595,0.089,0.046,0.0509,0.0507
F,0.3039,0.2995,0.2999,0.0419,0.0414,0.0413,0.0485,0.0614,0.0599,0.0493,0.0518,0.0486
G,0.482,0.5465,0.5375,0.0423,0.0738,0.0415,0.0583,0.0462,0.0633,0.0465,0.0598,0.0623
H,1.0349,1.2728,1.2669,0.04,0.0408,0.0406,0.0572,0.0498,0.0641,0.0505,0.0512,0.0492
,,,,,,,,,,,,
no2no3_a,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0658,0.0667,0.0671,0.0683,0.0676,0.0666,0.1038,0.0927,0.0903,0.089,0.0925,0.0609
B,0.0783,0.0796,0.0775,0.0776,0.0791,0.0763,0.1044,0.0953,0.0912,0.061,1.3175,0.0963
C,0.0823,0.1001,0.0818,0.0765,0.0786,0.0789,1.6251,0.0954,0.0892,0.0991,0.0881,0.0927
D,0.093,0.0892,0.0945,0.0879,0.0865,0.0875,0.094,0.0914,0.0824,0.0837,0.0903,0.1323
E,0.1838,0.1863,0.1939,0.148,0.1557,0.1522,0.0743,0.0839,0.0621,0.0923,0.1002,0.1048
F,0.3205,0.3153,0.3155,0.237,0.2303,0.2321,0.0959,0.0932,0.0871,0.1052,0.0948,0.0969
G,0.5173,0.5511,0.5326,0.3429,0.3417,0.3405,0.0861,0.0885,0.0861,0.0946,0.1002,0.0905
H,1.0278,1.1619,1.176,0.8486,0.8482,0.835,0.0864,0.0907,0.0873,0.0871,0.0823,0.0897
,,,,,,,,,,,,
no2_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.1,0.1,0.1,,,,,,,,,
C,0.5,0.5,0.5,,,,,,,,,
D,1,1,1,,,,,,,,,
E,5,5,5,,,,,,,,,
F,10,10,10,,,,,,,,,
G,20,20,20,,,,,,,,,
H,50,50,50,,,,,,,,,
,,,,,,,,,,,,
no3_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,0,0,0,,,,,,
B,,,,0.1,0.1,0.1,,,,,,
C,,,,0.5,0.5,0.5,,,,,,
D,,,,1,1,1,,,,,,
E,,,,5,5,5,,,,,,
F,,,,10,10,10,,,,,,
G,,,,20,20,20,,,,,,
H,,,,50,50,50,,,,,,
,,,,,,,,,,,,
no2no3_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,5,
B,,,,,,,7,8,9,,,12
C,,,,,,,,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,,28,,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20201130,20201130,20201130,20201130,20201130,20201130,20201130,20201130,20201130,20201130,20201130,
B,20201130,20201130,20201130,20201130,20201130,20201130,20201130,20201130,20201130,,,20201130
C,20201130,20201130,20201130,20201130,20201130,20201130,,20201130,20201130,20201130,20201130,20201130
D,20201130,20201130,20201130,20201130,20201130,20201130,20201130,20201130,20201130,20201130,20201130,20201130
E,20201130,20201130,20201130,20201130,20201130,20201130,20201130,20201130,,20201130,,20201130
F,20201130,20201130,20201130,20201130,20201130,20201130,20201130,20201130,20201130,20201130,20201130,20201130
G,20201130,20201130,20201130,20201130,20201130,20201130,20201130,20201130,20201130,20201130,20201130,20201130
H,20201130,20201130,20201130,20201130,20201130,20201130,20201130,20201130,20201130,20201130,20201130,20201130
