nh4_a,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0687,0.0548,0.0586,0.0458,0.0468,0.0465,0.1151,0.0987,0.0997,0.1031,0.0456,0.0461
B,0.0549,0.0514,0.0521,0.0459,0.0498,0.0464,0.1393,0.2284,0.1245,0.1411,0.0454,0.0458
C,0.0529,0.0531,0.0538,0.046,0.0458,0.045,0.1481,0.1719,0.1247,0.1206,0.043,0.0453
D,0.0593,0.0604,0.0609,0.0459,0.0453,0.0462,0.1232,0.1256,0.0937,0.1052,0.0454,0.0459
E,0.083,0.0855,0.0904,0.046,0.0455,0.0457,0.0459,0.0458,0.0456,0.0457,0.046,0.046
F,0.1287,0.1322,0.1129,0.0459,0.0462,0.0461,0.046,0.0482,0.0446,0.0454,0.0465,0.0459
G,0.2099,0.1861,0.2039,0.0459,0.0458,0.0441,0.0459,0.0456,0.0457,0.0453,0.0465,0.046
H,0.4332,0.4451,0.4317,0.0459,0.0456,0.0456,0.0456,0.0442,0.0469,0.051,0.0455,0.0456
,,,,,,,,,,,,
nh4_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.1,0.1,0.1,,,,,,,,,
C,0.5,0.5,0.5,,,,,,,,,
D,1,1,1,,,,,,,,,
E,5,5,5,,,,,,,,,
F,10,10,10,,,,,,,,,
G,20,20,20,,,,,,,,,
H,50,50,50,,,,,,,,,
,,,,,,,,,,,,
nh4_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,H0_T1,H0_T2,H0_T3,H0_T4,,
B,,,,,,,H1_T1,H1_T2,H1_T3,H1_T4,,
C,,,,,,,H4_T1,H4_T2,H4_T3,H4_T4,,
D,,,,,,,H8_T1,H8_T2,H8_T3,H8_T4,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20201208,20201208,20201208,,,,20201208,20201208,20201208,20201208,,
B,20201208,20201208,20201208,,,,20201208,20201208,20201208,20201208,,
C,20201208,20201208,20201208,,,,20201208,20201208,20201208,20201208,,
D,20201208,20201208,20201208,,,,20201208,20201208,20201208,20201208,,
E,20201208,20201208,20201208,,,,,,,,,
F,20201208,20201208,20201208,,,,,,,,,
G,20201208,20201208,20201208,,,,,,,,,
H,20201208,20201208,20201208,,,,,,,,,
