nh4_b,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0535,0.0544,0.0568,0.046,0.0455,0.0458,0.0942,0.0966,0.0923,0.1,0.0455,0.0451
B,0.058,0.0542,0.0815,0.0459,0.0443,0.0453,0.1248,0.2113,0.135,0.1326,0.045,0.045
C,0.0539,0.0539,0.0514,0.0458,0.0457,0.0456,0.1498,0.1711,0.1148,0.1196,0.0456,0.0461
D,0.0591,0.0589,0.0588,0.0459,0.0453,0.046,0.1224,0.1206,0.0923,0.0949,0.0454,0.046
E,0.0878,0.0906,0.0888,0.0463,0.045,0.0425,0.0454,0.0444,0.0443,0.0457,0.0456,0.046
F,0.1298,0.1347,0.1301,0.046,0.0437,0.0459,0.0443,0.0457,0.0454,0.0458,0.0492,0.0459
G,0.2136,0.2052,0.2002,0.0459,0.0457,0.0442,0.0461,0.0456,0.0455,0.0457,0.0458,0.046
H,0.4328,0.4363,0.4189,0.0459,0.0442,0.046,0.0435,0.046,0.0458,0.0457,0.0456,0.046
,,,,,,,,,,,,
nh4_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.1,0.1,0.1,,,,,,,,,
C,0.5,0.5,0.5,,,,,,,,,
D,1,1,1,,,,,,,,,
E,5,5,5,,,,,,,,,
F,10,10,10,,,,,,,,,
G,20,20,20,,,,,,,,,
H,50,50,50,,,,,,,,,
,,,,,,,,,,,,
nh4_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,H0_T1,H0_T2,H0_T3,H0_T4,,
B,,,,,,,H1_T1,H1_T2,H1_T3,H1_T4,,
C,,,,,,,H4_T1,H4_T2,H4_T3,H4_T4,,
D,,,,,,,H8_T1,H8_T2,H8_T3,H8_T4,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20201208,20201208,20201208,,,,20201208,20201208,20201208,20201208,,
B,20201208,20201208,20201208,,,,20201208,20201208,20201208,20201208,,
C,20201208,20201208,20201208,,,,20201208,20201208,20201208,20201208,,
D,20201208,20201208,20201208,,,,20201208,20201208,20201208,20201208,,
E,20201208,20201208,20201208,,,,,,,,,
F,20201208,20201208,20201208,,,,,,,,,
G,20201208,20201208,20201208,,,,,,,,,
H,20201208,20201208,20201208,,,,,,,,,
