no2_a,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0433,0.047,0.043,0.0416,0.042,0.0418,0.0463,0.0493,0.0485,0.0506,0.0473,0.0481
B,0.045,0.0441,0.0445,0.0427,0.0419,0.0414,0.0653,0.0883,0.0597,0.0587,0.0477,0.0483
C,0.0526,0.053,0.0523,0.0429,0.0416,0.0426,0.0885,0.1281,0.0745,0.0708,0.0482,0.0479
D,0.0636,0.0632,0.0632,0.0431,0.0419,0.042,0.0842,0.1196,0.0782,0.0799,0.0479,0.0478
E,0.1608,0.1632,0.1619,0.042,0.0422,0.0472,0.0483,0.0475,0.0472,0.0471,0.0473,0.0479
F,0.2902,0.2864,0.2858,0.0431,0.0557,0.0422,0.0477,0.0473,0.0498,0.0471,0.0475,0.0477
G,0.5317,0.5277,0.535,0.0429,0.0428,0.043,0.0476,0.0471,0.0472,0.0474,0.0476,0.0477
H,1.2493,1.2265,1.2293,0.0423,0.0606,0.0425,0.0477,0.0466,0.0469,0.047,0.0481,0.0473
,,,,,,,,,,,,
no2no3_a,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0733,0.0688,0.0715,0.0701,0.0713,0.0708,0.7178,1.4916,1.5375,1.6204,0.0461,0.0477
B,0.0751,0.0738,0.0759,0.0757,0.0755,0.0753,1.0524,0.6936,1.08,1.1857,0.0475,0.0482
C,0.0811,0.0836,0.0818,0.0805,0.0811,0.0822,0.6808,0.6712,1.0313,0.9601,0.0467,0.0449
D,0.0919,0.0925,0.0901,0.0863,0.0872,0.0867,0.9246,0.7921,1.1565,1.1118,0.0478,0.0477
E,0.1846,0.1923,0.1892,0.1432,0.1473,0.149,0.0456,0.0467,0.0463,0.045,0.0471,0.0478
F,0.3103,0.3093,0.3061,0.1962,0.1958,0.1956,0.0449,0.0445,0.0496,0.045,0.0474,0.0458
G,0.5417,0.5345,0.5414,0.3356,0.3312,0.3395,0.0477,0.0471,0.047,0.0473,0.0461,0.0476
H,1.1696,1.1608,1.1676,0.7692,0.4619,0.7645,0.0477,0.0466,0.0468,0.047,0.0482,0.0452
,,,,,,,,,,,,
no2_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.1,0.1,0.1,,,,,,,,,
C,0.5,0.5,0.5,,,,,,,,,
D,1,1,1,,,,,,,,,
E,5,5,5,,,,,,,,,
F,10,10,10,,,,,,,,,
G,20,20,20,,,,,,,,,
H,50,50,50,,,,,,,,,
,,,,,,,,,,,,
no3_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,0,0,0,,,,,,
B,,,,0.1,0.1,0.1,,,,,,
C,,,,0.5,0.5,0.5,,,,,,
D,,,,1,1,1,,,,,,
E,,,,5,5,5,,,,,,
F,,,,10,10,10,,,,,,
G,,,,20,20,20,,,,,,
H,,,,50,50,50,,,,,,
,,,,,,,,,,,,
no2no3_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,H0_T1,H0_T2,H0_T3,H0_T4,,
B,,,,,,,H1_T1,H1_T2,H1_T3,H1_T4,,
C,,,,,,,H4_T1,H4_T2,H4_T3,H4_T4,,
D,,,,,,,H8_T1,H8_T2,H8_T3,H8_T4,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20201208,20201208,20201208,20201208,20201208,20201208,20201208,20201208,20201208,20201208,,
B,20201208,20201208,20201208,20201208,20201208,20201208,20201208,20201208,20201208,20201208,,
C,20201208,20201208,20201208,20201208,20201208,20201208,20201208,20201208,20201208,20201208,,
D,20201208,20201208,20201208,20201208,20201208,20201208,20201208,20201208,20201208,20201208,,
E,20201208,20201208,20201208,20201208,20201208,20201208,,,,,,
F,20201208,20201208,20201208,20201208,20201208,20201208,,,,,,
G,20201208,20201208,20201208,20201208,20201208,20201208,,,,,,
H,20201208,20201208,20201208,20201208,20201208,20201208,,,,,,
