po4_a,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0597,0.0599,0.0588,0.0437,0.0435,0.0442,0.2156,0.2464,0.2546,0.2437,0.0435,0.0441
B,0.0608,0.06,0.0609,0.0435,0.0432,0.0439,0.6274,0.6732,0.4707,0.4069,0.0439,0.0436
C,0.0624,0.0622,0.0624,0.0434,0.0431,0.0441,0.6631,0.623,0.53,0.4894,0.046,0.0467
D,0.0687,0.0681,0.0664,0.0433,0.0436,0.0437,0.6187,0.5008,0.4483,0.4661,0.0433,0.0433
E,0.1079,0.1123,0.104,0.0433,0.0494,0.0428,0.043,0.0432,0.0428,0.0432,0.0429,0.0434
F,0.1394,0.116,0.1387,0.0432,0.043,0.0433,0.0429,0.043,0.044,0.043,0.043,0.0431
G,0.1622,0.1686,0.1645,0.0433,0.0429,0.0428,0.0428,0.0429,0.0428,0.0429,0.0432,0.0431
H,0.2809,0.2614,0.2853,0.0428,0.0431,0.0424,0.043,0.0426,0.0427,0.0427,0.0438,0.0434
,,,,,,,,,,,,
po4_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.1,0.1,0.1,,,,,,,,,
C,0.5,0.5,0.5,,,,,,,,,
D,1,1,1,,,,,,,,,
E,5,5,5,,,,,,,,,
F,7.5,7.5,7.5,,,,,,,,,
G,10,10,10,,,,,,,,,
H,20,20,20,,,,,,,,,
,,,,,,,,,,,,
po4_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,H0_T1,H0_T2,H0_T3,H0_T4,,
B,,,,,,,H1_T1,H1_T2,H1_T3,H1_T4,,
C,,,,,,,H4_T1,H4_T2,H4_T3,H4_T4,,
D,,,,,,,H8_T1,H8_T2,H8_T3,H8_T4,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20201208,20201208,20201208,,,,20201208,20201208,20201208,20201208,,
B,20201208,20201208,20201208,,,,20201208,20201208,20201208,20201208,,
C,20201208,20201208,20201208,,,,20201208,20201208,20201208,20201208,,
D,20201208,20201208,20201208,,,,20201208,20201208,20201208,20201208,,
E,20201208,20201208,20201208,,,,,,,,,
F,20201208,20201208,20201208,,,,,,,,,
G,20201208,20201208,20201208,,,,,,,,,
H,20201208,20201208,20201208,,,,,,,,,
