po4_b,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0552,0.0552,0.0546,0.0437,0.0434,0.0459,0.2414,0.2309,0.2403,0.2319,0.0434,0.0439
B,0.0565,0.0561,0.0564,0.0433,0.0434,0.0439,0.6518,0.8734,0.4449,0.4496,0.0439,0.0434
C,0.0574,0.0576,0.057,0.0433,0.0431,0.0441,0.7129,0.604,0.507,0.4973,0.0439,0.0435
D,0.0644,0.0634,0.0632,0.0432,0.0434,0.044,0.6236,0.5082,0.436,0.4382,0.0433,0.0433
E,0.1047,0.1052,0.1033,0.0432,0.0429,0.0427,0.0429,0.0435,0.0427,0.043,0.0429,0.0432
F,0.1287,0.1318,0.1318,0.0432,0.0429,0.0431,0.0428,0.0427,0.0437,0.0428,0.043,0.0431
G,0.164,0.1575,0.1581,0.0431,0.0423,0.0428,0.0426,0.0428,0.0427,0.0431,0.0433,0.043
H,0.278,0.2677,0.2703,0.0427,0.0437,0.0423,0.0429,0.0424,0.0427,0.0425,0.0437,0.0432
,,,,,,,,,,,,
po4_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.1,0.1,0.1,,,,,,,,,
C,0.5,0.5,0.5,,,,,,,,,
D,1,1,1,,,,,,,,,
E,5,5,5,,,,,,,,,
F,7.5,7.5,7.5,,,,,,,,,
G,10,10,10,,,,,,,,,
H,20,20,20,,,,,,,,,
,,,,,,,,,,,,
po4_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,H0_T1,H0_T2,H0_T3,H0_T4,,
B,,,,,,,H1_T1,H1_T2,H1_T3,H1_T4,,
C,,,,,,,H4_T1,H4_T2,H4_T3,H4_T4,,
D,,,,,,,H8_T1,H8_T2,H8_T3,H8_T4,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20201208,20201208,20201208,,,,20201208,20201208,20201208,20201208,,
B,20201208,20201208,20201208,,,,20201208,20201208,20201208,20201208,,
C,20201208,20201208,20201208,,,,20201208,20201208,20201208,20201208,,
D,20201208,20201208,20201208,,,,20201208,20201208,20201208,20201208,,
E,20201208,20201208,20201208,,,,,,,,,
F,20201208,20201208,20201208,,,,,,,,,
G,20201208,20201208,20201208,,,,,,,,,
H,20201208,20201208,20201208,,,,,,,,,
