bact_a,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0361,0.0362,0.0369,0.0469,0.0472,0.0473,0.0377,0.0381,0.0378,0.0397,0.0467,0.0474
B,0.0365,0.036,0.0364,0.0467,0.0467,0.0472,0.0549,0.0637,0.0472,0.0451,0.0467,0.0469
C,0.0374,0.0393,0.0372,0.047,0.0468,0.0472,0.061,0.0651,0.0517,0.0479,0.047,0.0468
D,0.0405,0.0386,0.0389,0.0468,0.0466,0.0471,0.0581,0.0651,0.0478,0.0472,0.0468,0.0472
E,0.0416,0.0432,0.0426,0.0469,0.047,0.0467,0.0468,0.0468,0.0467,0.0466,0.0465,0.047
F,0.0495,0.05,0.0493,0.0474,0.0465,0.0466,0.0477,0.0468,0.0469,0.0471,0.0471,0.0472
G,0.0654,0.069,0.0649,0.0471,0.047,0.0468,0.0475,0.0468,0.0464,0.0467,0.0463,0.0473
H,0.0959,0.1023,0.0946,0.0469,0.0495,0.0471,0.047,0.0466,0.0468,0.0468,0.0466,0.0475
,,,,,,,,,,,,
bact_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.015625,0.015625,0.015625,,,,,,,,,
C,0.03125,0.03125,0.03125,,,,,,,,,
D,0.0625,0.0625,0.0625,,,,,,,,,
E,0.125,0.125,0.125,,,,,,,,,
F,0.25,0.25,0.25,,,,,,,,,
G,0.5,0.5,0.5,,,,,,,,,
H,1,1,1,,,,,,,,,
,,,,,,,,,,,,
bact_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,T1,T2,T3,T4,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20201209,20201209,20201209,,,,20201209,20201209,20201209,20201209,,
B,20201209,20201209,20201209,,,,,,,,,
C,20201209,20201209,20201209,,,,,,,,,
D,20201209,20201209,20201209,,,,,,,,,
E,20201209,20201209,20201209,,,,,,,,,
F,20201209,20201209,20201209,,,,,,,,,
G,20201209,20201209,20201209,,,,,,,,,
H,20201209,20201209,20201209,,,,,,,,,
