nh4_a,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0581,0.0554,0.0551,0.0459,0.046,0.0478,0.105,0.1002,0.0778,0.0398,0.0458,0.0463
B,0.0536,0.0524,0.0537,0.0462,0.0458,0.0459,0.0459,0.0458,0.0457,0.0458,0.0456,0.0461
C,0.0559,0.0535,0.0536,0.0461,0.0458,0.0457,0.0457,0.0457,0.0458,0.0457,0.0455,0.0459
D,0.0648,0.0607,0.0569,0.0459,0.047,0.0458,0.0458,0.0456,0.0455,0.0456,0.0454,0.0467
E,0.0805,0.0879,0.0918,0.046,0.046,0.0461,0.0458,0.0457,0.0456,0.0456,0.0454,0.0461
F,0.1349,0.1365,0.1186,0.0465,0.0455,0.0457,0.046,0.0458,0.0465,0.046,0.046,0.0462
G,0.1806,0.2044,0.2514,0.0462,0.0459,0.0457,0.0462,0.0458,0.0454,0.0455,0.0453,0.0463
H,0.4753,0.5137,0.4702,0.046,0.046,0.0459,0.0459,0.0457,0.0457,0.0459,0.0457,0.0463
,,,,,,,,,,,,
nh4_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.1,0.1,0.1,,,,,,,,,
C,0.5,0.5,0.5,,,,,,,,,
D,1,1,1,,,,,,,,,
E,5,5,5,,,,,,,,,
F,10,10,10,,,,,,,,,
G,20,20,20,,,,,,,,,
H,50,50,50,,,,,,,,,
,,,,,,,,,,,,
nh4_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,T1,T2,T3,T4,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20201209,20201209,20201209,,,,20201209,20201209,20201209,20201209,,
B,20201209,20201209,20201209,,,,,,,,,
C,20201209,20201209,20201209,,,,,,,,,
D,20201209,20201209,20201209,,,,,,,,,
E,20201209,20201209,20201209,,,,,,,,,
F,20201209,20201209,20201209,,,,,,,,,
G,20201209,20201209,20201209,,,,,,,,,
H,20201209,20201209,20201209,,,,,,,,,
