nh4_b,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0559,0.0548,0.0548,0.046,0.046,0.0465,0.1016,0.1221,0.0808,0.0812,0.0458,0.0464
B,0.0541,0.0554,0.0633,0.0458,0.0459,0.046,0.0459,0.0458,0.0458,0.0455,0.0456,0.0461
C,0.0593,0.054,0.0554,0.0462,0.0457,0.0451,0.0457,0.0457,0.0457,0.0461,0.0455,0.0458
D,0.0576,0.0612,0.061,0.0459,0.0455,0.0459,0.0462,0.0455,0.0461,0.0456,0.0457,0.0464
E,0.093,0.0883,0.0885,0.0466,0.0461,0.0459,0.0459,0.0458,0.0467,0.0459,0.0457,0.0463
F,0.1482,0.1499,0.1312,0.0471,0.0457,0.0457,0.0466,0.0463,0.046,0.046,0.0462,0.0463
G,0.2323,0.2044,0.2208,0.0462,0.0486,0.046,0.0464,0.046,0.0455,0.0456,0.0454,0.0463
H,0.4384,0.5149,0.4854,0.046,0.046,0.0461,0.046,0.0457,0.0457,0.0456,0.0456,0.0464
,,,,,,,,,,,,
nh4_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.1,0.1,0.1,,,,,,,,,
C,0.5,0.5,0.5,,,,,,,,,
D,1,1,1,,,,,,,,,
E,5,5,5,,,,,,,,,
F,10,10,10,,,,,,,,,
G,20,20,20,,,,,,,,,
H,50,50,50,,,,,,,,,
,,,,,,,,,,,,
nh4_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,T1,T2,T3,T4,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20201209,20201209,20201209,,,,20201209,20201209,20201209,20201209,,
B,20201209,20201209,20201209,,,,,,,,,
C,20201209,20201209,20201209,,,,,,,,,
D,20201209,20201209,20201209,,,,,,,,,
E,20201209,20201209,20201209,,,,,,,,,
F,20201209,20201209,20201209,,,,,,,,,
G,20201209,20201209,20201209,,,,,,,,,
H,20201209,20201209,20201209,,,,,,,,,
