no2_b,1,2,3,4,5,6,7,8,9,10,11,12
A,0.04,0.043,0.0423,0.0433,0.0437,0.0429,0.0825,0.0757,0.0599,0.0562,0.0474,0.0481
B,0.046,0.0453,0.0471,0.0431,0.0429,0.0433,0.0477,0.0475,0.0474,0.0485,0.047,0.0478
C,0.0535,0.0536,0.0539,0.0431,0.0431,0.0432,0.0477,0.0472,0.0474,0.0473,0.0489,0.0475
D,0.0656,0.0662,0.0659,0.043,0.0436,0.0501,0.0478,0.0472,0.0472,0.0472,0.0473,0.048
E,0.1693,0.1683,0.1688,0.0428,0.0433,0.0429,0.048,0.0477,0.0475,0.0473,0.0471,0.0477
F,0.3004,0.3006,0.2963,0.0436,0.0436,0.0434,0.048,0.0477,0.0477,0.048,0.0478,0.0479
G,0.5549,0.5529,0.5541,0.0449,0.045,0.0432,0.0485,0.0478,0.0473,0.0479,0.047,0.0479
H,1.3171,1.2916,1.3036,0.0428,0.0436,0.0428,0.0483,0.0474,0.0476,0.0475,0.0473,0.0484
,,,,,,,,,,,,
no2no3_b,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0678,0.071,0.0706,0.0713,0.072,0.0713,0.7619,0.1886,0.1893,0.1158,0.0474,0.048
B,0.0779,0.0745,0.0765,0.076,0.0749,0.0764,0.0477,0.0474,0.0474,0.0476,0.047,0.0476
C,0.0844,0.0842,0.0851,0.081,0.0812,0.0811,0.0477,0.0471,0.0473,0.0528,0.0484,0.0474
D,0.0992,0.0943,0.0928,0.0863,0.0874,0.0865,0.0478,0.047,0.0474,0.0471,0.047,0.0479
E,0.1825,0.1833,0.1854,0.151,0.1504,0.1508,0.0478,0.0476,0.0474,0.0473,0.0471,0.0479
F,0.3085,0.2952,0.3042,0.1981,0.1998,0.1989,0.048,0.0476,0.0476,0.0479,0.0478,0.0479
G,0.5252,0.5075,0.5119,0.3259,0.3349,0.3261,0.0484,0.0477,0.0472,0.0479,0.047,0.0479
H,1.1265,1.1221,1.1162,0.7512,0.7446,0.7817,0.0483,0.0474,0.0476,0.0475,0.0473,0.0484
,,,,,,,,,,,,
no2_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.1,0.1,0.1,,,,,,,,,
C,0.5,0.5,0.5,,,,,,,,,
D,1,1,1,,,,,,,,,
E,5,5,5,,,,,,,,,
F,10,10,10,,,,,,,,,
G,20,20,20,,,,,,,,,
H,50,50,50,,,,,,,,,
,,,,,,,,,,,,
no3_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,0,0,0,,,,,,
B,,,,0.1,0.1,0.1,,,,,,
C,,,,0.5,0.5,0.5,,,,,,
D,,,,1,1,1,,,,,,
E,,,,5,5,5,,,,,,
F,,,,10,10,10,,,,,,
G,,,,20,20,20,,,,,,
H,,,,50,50,50,,,,,,
,,,,,,,,,,,,
no2no3_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,T1,T2,T3,T4,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20201209,20201209,20201209,20201209,20201209,20201209,20201209,20201209,20201209,20201209,,
B,20201209,20201209,20201209,20201209,20201209,20201209,,,,,,
C,20201209,20201209,20201209,20201209,20201209,20201209,,,,,,
D,20201209,20201209,20201209,20201209,20201209,20201209,,,,,,
E,20201209,20201209,20201209,20201209,20201209,20201209,,,,,,
F,20201209,20201209,20201209,20201209,20201209,20201209,,,,,,
G,20201209,20201209,20201209,20201209,20201209,20201209,,,,,,
H,20201209,20201209,20201209,20201209,20201209,20201209,,,,,,
