po4_b,1,2,3,4,5,6,7,8,9,10,11,12
A,0.056,0.055,0.0553,0.044,0.044,0.0448,0.4514,0.3053,0.282,0.286,0.0438,0.0442
B,0.0573,0.0567,0.0588,0.0437,0.0437,0.0437,0.0438,0.0436,0.0435,0.0434,0.0436,0.0437
C,0.0575,0.0588,0.0569,0.045,0.0438,0.0437,0.0435,0.0443,0.0435,0.0433,0.0433,0.0437
D,0.0641,0.0653,0.0737,0.0445,0.0434,0.0434,0.0434,0.0432,0.0433,0.0434,0.043,0.0437
E,0.1079,0.1091,0.106,0.0436,0.0435,0.0434,0.0431,0.0431,0.0434,0.0434,0.0429,0.0435
F,0.1417,0.1374,0.139,0.0437,0.0427,0.0432,0.0432,0.0431,0.0431,0.0433,0.0441,0.0434
G,0.1751,0.1633,0.1706,0.0435,0.043,0.0429,0.0434,0.0431,0.0427,0.043,0.0429,0.0436
H,0.2849,0.2871,0.3013,0.0441,0.0428,0.0426,0.0434,0.0435,0.0422,0.0426,0.043,0.0434
,,,,,,,,,,,,
po4_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.1,0.1,0.1,,,,,,,,,
C,0.5,0.5,0.5,,,,,,,,,
D,1,1,1,,,,,,,,,
E,5,5,5,,,,,,,,,
F,7.5,7.5,7.5,,,,,,,,,
G,10,10,10,,,,,,,,,
H,20,20,20,,,,,,,,,
,,,,,,,,,,,,
po4_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,T1,T2,T3,T4,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20201209,20201209,20201209,,,,20201209,20201209,20201209,20201209,,
B,20201209,20201209,20201209,,,,,,,,,
C,20201209,20201209,20201209,,,,,,,,,
D,20201209,20201209,20201209,,,,,,,,,
E,20201209,20201209,20201209,,,,,,,,,
F,20201209,20201209,20201209,,,,,,,,,
G,20201209,20201209,20201209,,,,,,,,,
H,20201209,20201209,20201209,,,,,,,,,
