no2_a,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0413,0.042,0.0412,0.0421,0.0422,0.042,0.0793,0.0745,0.0589,0.0576,0.0474,0.048
B,0.0439,0.0445,0.0436,0.0425,0.0413,0.0436,0.0787,0.0778,0.0589,0.0577,0.0473,0.0477
C,0.0532,0.0527,0.0521,0.0421,0.0415,0.0416,0.0477,0.0484,0.0473,0.0473,0.0471,0.0475
D,0.0668,0.0636,0.0644,0.0421,0.0415,0.0421,0.0478,0.0472,0.0473,0.0472,0.047,0.0479
E,0.1706,0.1663,0.1676,0.0417,0.0425,0.0424,0.0479,0.0475,0.0474,0.0473,0.0471,0.0477
F,0.3015,0.2946,0.3001,0.0426,0.0454,0.0422,0.0487,0.0478,0.0477,0.048,0.0479,0.0479
G,0.5525,0.5473,0.5463,0.0419,0.0438,0.0427,0.0485,0.0478,0.0473,0.0475,0.0471,0.0479
H,1.3122,1.3037,1.2991,0.0414,0.0426,0.0418,0.0483,0.0475,0.0476,0.0476,0.0474,0.0484
,,,,,,,,,,,,
no2no3_a,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0696,0.0698,0.0694,0.0684,0.0708,0.0722,0.1151,0.0962,0.1149,0.0988,0.0473,0.0489
B,0.0782,0.0788,0.0761,0.0767,0.0767,0.0776,0.1118,0.0959,0.1179,0.0977,0.0472,0.0476
C,0.0844,0.083,0.084,0.0826,0.083,0.0866,0.0477,0.0481,0.0473,0.0518,0.0542,0.0474
D,0.0942,0.0927,0.0928,0.0887,0.0893,0.0888,0.0478,0.0471,0.0473,0.0471,0.047,0.0478
E,0.1839,0.1824,0.1831,0.1593,0.1584,0.1569,0.0478,0.0475,0.0474,0.0483,0.047,0.0476
F,0.2957,0.2927,0.2965,0.2108,0.2115,0.2051,0.0482,0.0477,0.0477,0.0481,0.0477,0.0478
G,0.503,0.5037,0.5036,0.3589,0.3436,0.3414,0.0484,0.0477,0.0474,0.0474,0.047,0.0478
H,1.1584,1.1139,1.1081,0.7982,0.7792,0.7658,0.0483,0.0474,0.048,0.0475,0.0474,0.0483
,,,,,,,,,,,,
no2_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.1,0.1,0.1,,,,,,,,,
C,0.5,0.5,0.5,,,,,,,,,
D,1,1,1,,,,,,,,,
E,5,5,5,,,,,,,,,
F,10,10,10,,,,,,,,,
G,20,20,20,,,,,,,,,
H,50,50,50,,,,,,,,,
,,,,,,,,,,,,
no3_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,0,0,0,,,,,,
B,,,,0.1,0.1,0.1,,,,,,
C,,,,0.5,0.5,0.5,,,,,,
D,,,,1,1,1,,,,,,
E,,,,5,5,5,,,,,,
F,,,,10,10,10,,,,,,
G,,,,20,20,20,,,,,,
H,,,,50,50,50,,,,,,
,,,,,,,,,,,,
no2no3_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,T1,T2,T3,T4,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20201210,20201210,20201210,20201210,20201210,20201210,20201210,20201210,20201210,20201210,,
B,20201210,20201210,20201210,20201210,20201210,20201210,,,,,,
C,20201210,20201210,20201210,20201210,20201210,20201210,,,,,,
D,20201210,20201210,20201210,20201210,20201210,20201210,,,,,,
E,20201210,20201210,20201210,20201210,20201210,20201210,,,,,,
F,20201210,20201210,20201210,20201210,20201210,20201210,,,,,,
G,20201210,20201210,20201210,20201210,20201210,20201210,,,,,,
H,20201210,20201210,20201210,20201210,20201210,20201210,,,,,,
