po4_a,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0526,0.053,0.0527,0.0439,0.0438,0.0446,0.4698,0.265,0.2455,0.2219,0.0437,0.0441
B,0.0553,0.0538,0.0536,0.0436,0.0437,0.0441,0.4355,0.267,0.2507,0.1564,0.0437,0.0437
C,0.0544,0.0582,0.0533,0.0507,0.0435,0.0435,0.0434,0.0433,0.0433,0.0433,0.0432,0.0435
D,0.0627,0.0632,0.062,0.0435,0.0433,0.0432,0.0432,0.043,0.0431,0.0433,0.0429,0.0435
E,0.1003,0.102,0.0945,0.0435,0.0432,0.0433,0.043,0.0431,0.0431,0.0433,0.0427,0.0435
F,0.1251,0.1222,0.1256,0.0435,0.0435,0.043,0.043,0.043,0.043,0.0432,0.0431,0.0433
G,0.1503,0.1497,0.1606,0.0485,0.043,0.0426,0.0431,0.043,0.0425,0.0428,0.0428,0.0434
H,0.2486,0.241,0.2678,0.0438,0.0436,0.0427,0.0432,0.0434,0.042,0.0429,0.0429,0.0433
,,,,,,,,,,,,
po4_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.1,0.1,0.1,,,,,,,,,
C,0.5,0.5,0.5,,,,,,,,,
D,1,1,1,,,,,,,,,
E,5,5,5,,,,,,,,,
F,7.5,7.5,7.5,,,,,,,,,
G,10,10,10,,,,,,,,,
H,20,20,20,,,,,,,,,
,,,,,,,,,,,,
po4_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,T1,T2,T3,T4,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20201210,20201210,20201210,,,,20201210,20201210,20201210,20201210,,
B,20201210,20201210,20201210,,,,,,,,,
C,20201210,20201210,20201210,,,,,,,,,
D,20201210,20201210,20201210,,,,,,,,,
E,20201210,20201210,20201210,,,,,,,,,
F,20201210,20201210,20201210,,,,,,,,,
G,20201210,20201210,20201210,,,,,,,,,
H,20201210,20201210,20201210,,,,,,,,,
