bact_b,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0366,0.0368,0.0442,0.047,0.047,0.0472,0.0489,0.0475,0.0478,0.0477,0.0418,0.0415
B,0.0375,0.0368,0.0366,0.047,0.0468,0.0475,0.0423,0.0432,0.0405,0.039,0.0419,0.0457
C,0.0398,0.038,0.0453,0.0468,0.0468,0.0472,0.0472,0.039,0.0424,0.0504,0.039,0.0401
D,0.0409,0.0428,0.0404,0.047,0.0466,0.0478,0.0396,0.0412,0.04,0.0438,0.0399,0.0381
E,0.0453,0.0443,0.0544,0.0472,0.0498,0.0484,0.041,0.0389,0.0423,0.0438,0.0598,0.0501
F,0.0545,0.0636,0.0541,0.0472,0.0474,0.0476,0.0446,0.0425,0.0373,0.0454,0.0449,0.0407
G,0.0808,0.0711,0.0726,0.0472,0.0472,0.0511,0.0396,0.0588,0.042,0.0435,0.046,0.0409
H,0.1295,0.1172,0.1148,0.047,0.0471,0.0479,0.0444,0.0406,0.0424,0.0418,0.0411,0.0425
,,,,,,,,,,,,
bact_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.015625,0.015625,0.015625,,,,,,,,,
C,0.03125,0.03125,0.03125,,,,,,,,,
D,0.0625,0.0625,0.0625,,,,,,,,,
E,0.125,0.125,0.125,,,,,,,,,
F,0.25,0.25,0.25,,,,,,,,,
G,0.5,0.5,0.5,,,,,,,,,
H,1,1,1,,,,,,,,,
,,,,,,,,,,,,
bact_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,5,6
B,,,,,,,7,8,9,10,11,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20211029,20211029,20211029,,,,20211029,20211029,20211029,20211029,20211029,20211029
B,20211029,20211029,20211029,,,,20211029,20211029,20211029,20211029,20211029,20211029
C,20211029,20211029,20211029,,,,20211029,20211029,20211029,20211029,20211029,20211029
D,20211029,20211029,20211029,,,,20211029,20211029,20211029,20211029,20211029,20211029
E,20211029,20211029,20211029,,,,20211029,20211029,20211029,20211029,20211029,20211029
F,20211029,20211029,20211029,,,,20211029,20211029,20211029,20211029,20211029,20211029
G,20211029,20211029,20211029,,,,20211029,20211029,20211029,20211029,20211029,20211029
H,20211029,20211029,20211029,,,,20211029,20211029,20211029,20211029,20211029,20211029
