nh4_a,1,2,3,4,5,6,7,8,9,10,11,12
A,0.052,0.055,0.0493,0.0475,0.0459,0.0525,0.1088,0.09,0.0652,0.0746,0.0775,
B,0.0729,0.052,0.0581,0.0462,0.0461,0.0532,0.0934,0.0814,0.0758,0.0682,0.0746,0.1033
C,0.056,0.0564,0.0661,0.0466,0.0456,0.0475,0.1083,0.0744,0.0737,0.0722,0.0774,0.0896
D,0.0554,0.0638,0.0613,0.048,0.0456,0.0469,0.0778,0.0768,0.0935,0.0874,0.0705,0.0713
E,0.064,0.0637,0.0756,0.0461,0.0854,0.0466,0.0895,0.0684,0.0669,0.0723,0.1032,0.0806
F,0.1023,0.1188,0.1122,0.0588,0.0457,0.0466,0.0814,0.0714,0.0665,0.0786,0.0754,0.1122
G,0.1836,0.2016,0.2179,0.0547,0.0461,0.0473,0.0809,0.0825,0.1023,0.0688,0.0943,0.0763
H,0.2959,0.267,0.266,0.0455,0.068,0.0465,0.0738,0.1398,0.0812,0.1295,0.07,0.0702
,,,,,,,,,,,,
nh4_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.05,0.05,0.05,,,,,,,,,
C,0.1,0.1,0.1,,,,,,,,,
D,0.5,0.5,0.5,,,,,,,,,
E,1,1,1,,,,,,,,,
F,5,5,5,,,,,,,,,
G,10,10,10,,,,,,,,,
H,20,20,20,,,,,,,,,
,,,,,,,,,,,,
nh4_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,5,
B,,,,,,,7,8,9,10,11,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20211029,20211029,20211029,,,,20211029,20211029,20211029,20211029,20211029,
B,20211029,20211029,20211029,,,,20211029,20211029,20211029,20211029,20211029,20211029
C,20211029,20211029,20211029,,,,20211029,20211029,20211029,20211029,20211029,20211029
D,20211029,20211029,20211029,,,,20211029,20211029,20211029,20211029,20211029,20211029
E,20211029,20211029,20211029,,,,20211029,20211029,20211029,20211029,20211029,20211029
F,20211029,20211029,20211029,,,,20211029,20211029,20211029,20211029,20211029,20211029
G,20211029,20211029,20211029,,,,20211029,20211029,20211029,20211029,20211029,20211029
H,20211029,20211029,20211029,,,,20211029,20211029,20211029,20211029,20211029,20211029
