no2_b,1,2,3,4,5,6,7,8,9,10,11,12
A,0.077,0.0595,0.0585,0.0499,0.0485,0.0529,0.0952,0.0673,0.0645,0.0591,0.0557,0.0609
B,0.1543,0.1557,0.1596,0.0591,0.0534,0.0534,0.0565,0.0608,0.0564,0.0542,0.0577,0.0562
C,0.0696,0.067,0.0682,0.0555,0.0589,0.0618,0.0696,0.0547,0.0592,0.0596,0.0596,0.0541
D,0.0691,0.0811,0.1056,0.0685,0.0677,0.0667,0.0655,0.0594,0.0575,0.0629,0.0544,0.0544
E,0.0967,0.097,0.0826,0.0743,0.0835,0.0708,0.0498,0.0553,0.0567,0.0536,0.0624,0.0565
F,0.1858,0.1905,0.2725,0.0491,0.048,0.0474,0.0604,0.055,0.0508,0.0607,0.0581,0.0534
G,0.3813,0.3757,0.379,0.054,0.0718,0.0544,0.0508,0.0624,0.0812,0.0549,0.0541,0.0541
H,0.5533,0.5376,0.556,0.0571,0.0634,0.0492,0.0615,0.0526,0.053,0.0564,0.051,0.0652
,,,,,,,,,,,,
no2no3_b,1,2,3,4,5,6,7,8,9,10,11,12
A,0.1113,0.095,0.0948,0.0847,0.084,0.0871,0.3273,0.1395,0.1467,0.1332,0.1314,0.1341
B,0.1857,0.1864,0.1969,0.0954,0.095,0.0914,0.1343,0.1319,0.1306,0.1227,0.1218,0.1058
C,0.1106,0.1071,0.1088,0.0969,0.0988,0.0984,0.1452,0.1411,0.1214,0.1211,0.1384,0.1307
D,0.112,0.12,0.1365,0.1226,0.1202,0.119,0.1339,0.1339,0.1414,0.1355,0.1396,0.1295
E,0.1314,0.1293,0.1178,0.1332,0.1605,0.1234,0.0991,0.1235,0.1517,0.1198,0.1741,0.1265
F,0.2173,0.2294,0.2264,0.1831,0.1917,0.1792,0.1101,0.1319,0.1153,0.1274,0.1434,0.1734
G,0.384,0.3677,0.386,0.2714,0.2648,0.2705,0.1036,0.1321,0.1492,0.1242,0.1279,0.116
H,0.565,0.5524,0.5708,0.4735,0.4778,0.4541,0.1233,0.1412,0.1427,0.1075,0.1324,0.118
,,,,,,,,,,,,
no2_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.05,0.05,0.05,,,,,,,,,
C,0.1,0.1,0.1,,,,,,,,,
D,0.5,0.5,0.5,,,,,,,,,
E,1,1,1,,,,,,,,,
F,5,5,5,,,,,,,,,
G,10,10,10,,,,,,,,,
H,20,20,20,,,,,,,,,
,,,,,,,,,,,,
no3_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,0,0,0,,,,,,
B,,,,0.05,0.05,0.05,,,,,,
C,,,,0.1,0.1,0.1,,,,,,
D,,,,0.5,0.5,0.5,,,,,,
E,,,,1,1,1,,,,,,
F,,,,5,5,5,,,,,,
G,,,,10,10,10,,,,,,
H,,,,20,20,20,,,,,,
,,,,,,,,,,,,
no2no3_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,5,6
B,,,,,,,7,8,9,10,11,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029
B,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029
C,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029
D,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029
E,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029
F,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029
G,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029
H,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029,20211029
