nh4_b,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0942,0.0545,0.0535,0.0463,0.0603,0.051,0.0886,0.0619,0.0546,0.0794,0.0622,0.0658
B,0.0503,0.0516,0.0509,0.0473,0.0609,0.0489,0.0635,0.0533,0.0671,0.0609,0.062,0.0652
C,0.0536,0.0535,0.0561,0.0468,0.0468,0.0474,0.0603,0.0625,0.0568,0.0644,0.0709,0.0585
D,0.0563,0.0559,0.0577,0.0465,0.0464,0.048,0.0621,0.0603,0.0552,0.0584,0.0612,0.0599
E,0.0653,0.0607,0.0625,0.0466,0.0463,0.0472,0.1402,0.1097,0.0997,0.1645,0.168,0.1435
F,0.1052,0.1071,0.1062,0.0466,0.0463,0.0468,0.2555,0.2057,0.2961,0.1123,0.1718,0.1813
G,0.1608,0.1582,0.1659,0.0539,0.0467,0.0473,0.1691,0.1338,0.1067,0.1034,0.111,0.1245
H,0.2562,0.261,0.2373,0.0463,0.0467,0.0478,0.1131,0.1062,0.1069,0.1062,0.1103,0.1079
,,,,,,,,,,,,
nh4_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.05,0.05,0.05,,,,,,,,,
C,0.1,0.1,0.1,,,,,,,,,
D,0.5,0.5,0.5,,,,,,,,,
E,1,1,1,,,,,,,,,
F,5,5,5,,,,,,,,,
G,10,10,10,,,,,,,,,
H,20,20,20,,,,,,,,,
,,,,,,,,,,,,
nh4_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,5,6
B,,,,,,,7,8,9,10,11,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20211101,20211101,20211101,,,,20211101,20211101,20211101,20211101,20211101,20211101
B,20211101,20211101,20211101,,,,20211101,20211101,20211101,20211101,20211101,20211101
C,20211101,20211101,20211101,,,,20211101,20211101,20211101,20211101,20211101,20211101
D,20211101,20211101,20211101,,,,20211101,20211101,20211101,20211101,20211101,20211101
E,20211101,20211101,20211101,,,,20211101,20211101,20211101,20211101,20211101,20211101
F,20211101,20211101,20211101,,,,20211101,20211101,20211101,20211101,20211101,20211101
G,20211101,20211101,20211101,,,,20211101,20211101,20211101,20211101,20211101,20211101
H,20211101,20211101,20211101,,,,20211101,20211101,20211101,20211101,20211101,20211101
