po4_a,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0656,0.0599,0.059,0.0452,0.0443,0.0451,0.0781,0.0773,0.0758,0.0793,0.088,0.0971
B,0.0607,0.0609,0.0601,0.0441,0.0441,0.0447,0.0705,0.0655,0.121,0.0799,0.0818,0.0825
C,0.0631,0.0625,0.0619,0.0443,0.044,0.0449,0.1062,0.1038,0.0938,0.0823,0.1212,0.1084
D,0.0643,0.0641,0.0627,0.0446,0.0441,0.045,0.1057,0.1123,0.1073,0.1535,0.147,0.1367
E,0.0758,0.0694,0.0669,0.0454,0.0441,0.0444,0.2117,0.2254,0.2525,0.2555,0.2619,0.2909
F,0.1056,0.0996,0.1012,0.0441,0.044,0.0446,0.2804,0.2746,0.211,0.2241,0.2522,0.2453
G,0.1479,0.1428,0.1345,0.0629,0.0436,0.0444,0.2887,0.2426,0.2419,0.2559,0.3002,0.2859
H,0.1943,0.1728,0.1882,0.0511,0.0723,0.0447,0.3187,0.2926,0.2171,0.2615,0.2802,0.3056
,,,,,,,,,,,,
po4_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.05,0.05,0.05,,,,,,,,,
C,0.1,0.1,0.1,,,,,,,,,
D,0.5,0.5,0.5,,,,,,,,,
E,1,1,1,,,,,,,,,
F,5,5,5,,,,,,,,,
G,10,10,10,,,,,,,,,
H,15,15,15,,,,,,,,,
,,,,,,,,,,,,
po4_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,5,6
B,,,,,,,7,8,9,10,11,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20211101,20211101,20211101,,,,20211101,20211101,20211101,20211101,20211101,20211101
B,20211101,20211101,20211101,,,,20211101,20211101,20211101,20211101,20211101,20211101
C,20211101,20211101,20211101,,,,20211101,20211101,20211101,20211101,20211101,20211101
D,20211101,20211101,20211101,,,,20211101,20211101,20211101,20211101,20211101,20211101
E,20211101,20211101,20211101,,,,20211101,20211101,20211101,20211101,20211101,20211101
F,20211101,20211101,20211101,,,,20211101,20211101,20211101,20211101,20211101,20211101
G,20211101,20211101,20211101,,,,20211101,20211101,20211101,20211101,20211101,20211101
H,20211101,20211101,20211101,,,,20211101,20211101,20211101,20211101,20211101,20211101
