no2_a,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0554,0.0536,0.0467,0.0465,0.0464,0.0477,0.0615,0.0778,0.0615,0.0683,0.0568,0.078
B,0.0739,0.0724,0.0725,0.0648,0.0629,0.0654,0.0744,0.0906,0.0613,0.0673,0.0652,0.0594
C,0.0777,0.0776,0.0853,0.0528,0.0527,0.0559,0.07,0.0631,0.0771,0.0693,0.0754,0.0629
D,0.0723,0.0677,0.0615,0.0686,0.0704,0.083,0.0727,0.0683,0.2838,0.0719,0.0769,0.0792
E,0.0753,0.0835,0.077,0.0794,0.048,0.0459,0.143,0.1511,0.095,0.1102,0.1229,0.1377
F,0.2095,0.2006,0.2044,0.0528,0.0531,0.0612,0.1173,0.1299,0.0993,0.1191,0.1264,0.1046
G,0.393,0.3989,0.3888,0.048,0.0473,0.0459,0.0991,0.1078,0.1267,0.104,0.1195,0.1825
H,0.6566,0.6784,0.629,0.0443,0.0446,0.045,0.087,0.1022,0.1172,0.09,0.1162,0.1685
,,,,,,,,,,,,
no2no3_a,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
no2_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.05,0.05,0.05,,,,,,,,,
C,0.1,0.1,0.1,,,,,,,,,
D,0.5,0.5,0.5,,,,,,,,,
E,1,1,1,,,,,,,,,
F,5,5,5,,,,,,,,,
G,10,10,10,,,,,,,,,
H,20,20,20,,,,,,,,,
,,,,,,,,,,,,
no3_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
no2no3_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,5,6
B,,,,,,,7,8,9,10,11,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20211108,20211108,20211108,,,,20211108,20211108,20211108,20211108,20211108,20211108
B,20211108,20211108,20211108,,,,20211108,20211108,20211108,20211108,20211108,20211108
C,20211108,20211108,20211108,,,,20211108,20211108,20211108,20211108,20211108,20211108
D,20211108,20211108,20211108,,,,20211108,20211108,20211108,20211108,20211108,20211108
E,20211108,20211108,20211108,,,,20211108,20211108,20211108,20211108,20211108,20211108
F,20211108,20211108,20211108,,,,20211108,20211108,20211108,20211108,20211108,20211108
G,20211108,20211108,20211108,,,,20211108,20211108,20211108,20211108,20211108,20211108
H,20211108,20211108,20211108,,,,20211108,20211108,20211108,20211108,20211108,20211108
