no2_b,1,2,3,4,5,6,7,8,9,10,11,12
A,0.1012,0.0839,0.0843,0.0855,0.0846,0.0846,0.0526,0.0624,0.0544,0.066,0.0573,0.0587
B,0.0809,0.0809,0.0801,0.0824,0.0672,0.0689,0.0543,0.0599,0.0538,0.0573,0.0684,0.0576
C,0.0949,0.098,0.0976,0.0531,0.0533,0.0572,0.0667,0.0713,0.0619,0.0641,0.072,0.063
D,0.0832,0.078,0.0781,0.0884,0.0877,0.0888,0.0549,0.056,0.0686,0.0573,0.0515,0.0547
E,0.0968,0.0899,0.0901,0.0442,0.0435,0.0477,0.1432,0.1178,0.1347,0.1155,0.1272,0.1413
F,0.1961,0.1895,0.1969,0.0567,0.0577,0.056,0.1083,0.1187,0.1105,0.1022,0.1149,0.1247
G,0.407,0.4126,0.4037,0.0529,0.0507,0.1024,0.125,0.1893,0.1454,0.1491,0.1393,0.1588
H,0.6398,0.6255,0.6321,0.045,0.0451,0.0459,0.141,0.1332,0.1246,0.1227,0.1203,0.1539
,,,,,,,,,,,,
no2no3_b,1,2,3,4,5,6,7,8,9,10,11,12
A,0.1182,0.1175,0.1247,0.1165,0.1166,0.1169,0.0863,0.1149,0.0849,0.1018,0.1341,0.0926
B,0.1338,0.1335,0.133,0.1347,0.15,0.1335,0.0923,0.1053,0.0853,0.0866,0.087,0.1051
C,0.1548,0.1577,0.1587,0.0899,0.0911,0.1019,0.1095,0.1143,0.0978,0.1033,0.1913,0.1178
D,0.232,0.238,0.2286,0.1456,0.1402,0.1535,0.102,0.0852,0.1108,0.1005,0.0861,0.0908
E,0.2288,0.2202,0.2281,0.1262,0.1253,0.1259,0.1099,0.115,0.1227,0.1068,0.1183,0.1232
F,0.2808,0.2662,0.266,0.1948,0.2143,0.21,0.1049,0.1083,0.1019,0.1051,0.1077,0.1054
G,0.4242,0.4519,0.4398,0.2817,0.2825,0.2864,0.1646,0.1584,0.1441,0.1302,0.119,0.1288
H,0.6105,0.6016,0.6164,0.4087,0.4363,0.4698,0.1181,0.1039,0.112,0.1073,0.1085,0.1109
,,,,,,,,,,,,
no2_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.05,0.05,0.05,,,,,,,,,
C,0.1,0.1,0.1,,,,,,,,,
D,0.5,0.5,0.5,,,,,,,,,
E,1,1,1,,,,,,,,,
F,5,5,5,,,,,,,,,
G,10,10,10,,,,,,,,,
H,20,20,20,,,,,,,,,
,,,,,,,,,,,,
no3_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,0,0,0,,,,,,
B,,,,0.05,0.05,0.05,,,,,,
C,,,,0.1,0.1,0.1,,,,,,
D,,,,0.5,0.5,0.5,,,,,,
E,,,,1,1,1,,,,,,
F,,,,5,5,5,,,,,,
G,,,,10,10,10,,,,,,
H,,,,20,20,20,,,,,,
,,,,,,,,,,,,
no2no3_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,5,6
B,,,,,,,7,8,9,10,11,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115
B,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115
C,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115
D,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115
E,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115
F,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115
G,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115
H,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115,20211115
