bact_a,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0359,0.0415,0.0353,0.0473,0.0489,0.0475,0.0456,0.0488,0.0506,0.0473,0.0579,0.0494
B,0.0394,0.0379,0.0372,0.0473,0.0473,0.0477,0.0515,0.0585,0.0541,0.0492,0.0613,0.0629
C,0.0421,0.0396,0.0406,0.0473,0.0471,0.0519,0.0496,0.0481,0.0537,0.0529,0.0465,0.0509
D,0.048,0.0445,0.0427,0.0475,0.0471,0.0477,0.0536,0.0472,0.0463,0.0644,0.0668,0.0468
E,0.0584,0.0546,0.0523,0.0474,0.0471,0.0476,0.0863,0.1021,0.0829,0.1069,0.097,0.1072
F,0.0765,0.0727,0.0732,0.0476,0.0557,0.0477,0.0975,0.1044,0.1143,0.106,0.1166,0.0946
G,0.1117,0.1087,0.1124,0.0478,0.0474,0.0476,0.0942,0.0874,0.0871,0.0877,0.0906,0.0963
H,0.2045,0.2668,0.1901,0.0473,0.0489,0.048,0.092,0.0884,0.0981,0.0987,0.1177,0.0866
,,,,,,,,,,,,
bact_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.015625,0.015625,0.015625,,,,,,,,,
C,0.03125,0.03125,0.03125,,,,,,,,,
D,0.0625,0.0625,0.0625,,,,,,,,,
E,0.125,0.125,0.125,,,,,,,,,
F,0.25,0.25,0.25,,,,,,,,,
G,0.5,0.5,0.5,,,,,,,,,
H,1,1,1,,,,,,,,,
,,,,,,,,,,,,
bact_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,5,6
B,,,,,,,7,8,9,10,11,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20211122,20211122,20211122,,,,20211122,20211122,20211122,20211122,20211122,20211122
B,20211122,20211122,20211122,,,,20211122,20211122,20211122,20211122,20211122,20211122
C,20211122,20211122,20211122,,,,20211122,20211122,20211122,20211122,20211122,20211122
D,20211122,20211122,20211122,,,,20211122,20211122,20211122,20211122,20211122,20211122
E,20211122,20211122,20211122,,,,20211122,20211122,20211122,20211122,20211122,20211122
F,20211122,20211122,20211122,,,,20211122,20211122,20211122,20211122,20211122,20211122
G,20211122,20211122,20211122,,,,20211122,20211122,20211122,20211122,20211122,20211122
H,20211122,20211122,20211122,,,,20211122,20211122,20211122,20211122,20211122,20211122
