po4_b,1,2,3,4,5,6,7,8,9,10,11,12
A,0.06,0.0601,0.0582,0.0447,0.0485,0.0454,0.1536,0.1739,0.1327,0.1058,0.1153,0.123
B,0.0687,0.0596,0.0591,0.0451,0.0449,0.0451,0.1713,0.1652,0.1536,0.1637,0.1866,0.189
C,0.0594,0.0598,0.0605,0.0471,0.0443,0.0446,0.1762,0.1723,0.1405,0.1735,0.1861,0.1289
D,0.064,0.0618,0.0634,0.0445,0.0441,0.0446,0.1628,0.1563,0.1268,0.1763,0.2105,0.1697
E,0.067,0.065,0.0664,0.0442,0.0437,0.0445,0.3931,0.3928,0.3969,0.4897,0.3957,0.4555
F,0.0974,0.0929,0.0941,0.0443,0.0437,0.0444,0.3299,0.4678,0.5787,0.3875,0.4154,0.4079
G,0.1314,0.1252,0.1336,0.0441,0.0438,0.0442,0.3064,0.3774,0.374,0.4037,0.4332,0.3837
H,0.1861,0.1742,0.1712,0.0441,0.044,0.0442,0.4306,0.4591,0.3488,0.3975,0.4629,0.3696
,,,,,,,,,,,,
po4_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.05,0.05,0.05,,,,,,,,,
C,0.1,0.1,0.1,,,,,,,,,
D,0.5,0.5,0.5,,,,,,,,,
E,1,1,1,,,,,,,,,
F,5,5,5,,,,,,,,,
G,10,10,10,,,,,,,,,
H,15,15,15,,,,,,,,,
,,,,,,,,,,,,
po4_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,5,6
B,,,,,,,7,8,9,10,11,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20211122,20211122,20211122,,,,20211122,20211122,20211122,20211122,20211122,20211122
B,20211122,20211122,20211122,,,,20211122,20211122,20211122,20211122,20211122,20211122
C,20211122,20211122,20211122,,,,20211122,20211122,20211122,20211122,20211122,20211122
D,20211122,20211122,20211122,,,,20211122,20211122,20211122,20211122,20211122,20211122
E,20211122,20211122,20211122,,,,20211122,20211122,20211122,20211122,20211122,20211122
F,20211122,20211122,20211122,,,,20211122,20211122,20211122,20211122,20211122,20211122
G,20211122,20211122,20211122,,,,20211122,20211122,20211122,20211122,20211122,20211122
H,20211122,20211122,20211122,,,,20211122,20211122,20211122,20211122,20211122,20211122
