no2_a,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0469,0.0542,0.0421,0.0442,0.0489,0.0446,0.0701,0.0676,0.1251,0.0605,0.0792,0.0752
B,0.0512,0.0519,0.051,0.0621,0.0615,0.0636,0.0747,0.075,0.08,0.073,0.0645,0.0629
C,0.0585,0.0565,0.0566,0.0507,0.0511,0.0576,0.0758,0.0742,0.0586,0.0579,0.0722,0.065
D,0.0514,0.0507,0.0503,0.0586,0.0597,0.0592,0.0623,0.0707,0.0631,0.0632,0.0706,0.0778
E,0.0952,0.084,0.0839,0.0526,0.0533,0.0537,0.1335,0.1323,0.1275,0.1377,0.1279,0.1433
F,0.1954,0.192,0.1903,0.0657,0.065,0.0663,0.1429,0.1299,0.1529,0.1246,0.137,0.1327
G,0.3766,0.3704,0.3784,0.0568,0.0568,0.0569,0.1253,0.1187,0.1334,0.1314,0.1249,0.1554
H,0.6221,0.6362,0.6212,0.0477,0.057,0.0476,0.1445,0.1383,0.1154,0.1417,0.1299,0.1174
,,,,,,,,,,,,
no2no3_a,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0772,0.0828,0.0736,0.0741,0.0831,0.0778,0.2935,0.1587,0.1349,0.1524,0.1431,0.1783
B,0.1976,0.1043,0.0865,0.1679,0.1311,0.1442,0.1244,0.1206,0.1351,0.1239,0.1141,0.1117
C,0.3027,0.0994,0.0977,0.0887,0.0879,0.0892,0.1157,0.1298,0.0991,0.1064,0.1016,0.1026
D,0.1146,0.0878,0.0908,0.1097,0.0957,0.1271,0.1086,0.1024,0.112,0.1114,0.1165,0.1234
E,0.1323,0.1325,0.1307,0.1102,0.116,0.1087,0.1372,0.1342,0.122,0.1366,0.134,0.1396
F,0.2347,0.2305,0.2258,0.1892,0.1929,0.1929,0.1432,0.132,0.1546,0.13,0.1416,0.1305
G,0.3853,0.3836,0.3942,0.3121,0.2814,0.2753,0.1344,0.1231,0.1316,0.123,0.1289,0.1561
H,0.5948,0.6117,0.5991,0.4448,0.4537,0.4369,0.1612,0.1318,0.1226,0.1337,0.1347,0.118
,,,,,,,,,,,,
no2_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.05,0.05,0.05,,,,,,,,,
C,0.1,0.1,0.1,,,,,,,,,
D,0.5,0.5,0.5,,,,,,,,,
E,1,1,1,,,,,,,,,
F,5,5,5,,,,,,,,,
G,10,10,10,,,,,,,,,
H,20,20,20,,,,,,,,,
,,,,,,,,,,,,
no3_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,0,0,0,,,,,,
B,,,,0.05,0.05,0.05,,,,,,
C,,,,0.1,0.1,0.1,,,,,,
D,,,,0.5,0.5,0.5,,,,,,
E,,,,1,1,1,,,,,,
F,,,,5,5,5,,,,,,
G,,,,10,10,10,,,,,,
H,,,,20,20,20,,,,,,
,,,,,,,,,,,,
no2no3_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,5,6
B,,,,,,,7,8,9,10,11,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129
B,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129
C,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129
D,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129
E,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129
F,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129
G,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129
H,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129,20211129
