resource,sample,unit,Al,B,Ca,Cu,Fe,K,Mg,Mn,Mo,Na,P,S,Zn,N,C,S
leaf_litter,1,%,,,,,,,,,,,,,,0.98,47,0.11
leaf_litter,2,%,,,,,,,,,,,,,,1.1,47.00,0.12
leaf_litter,3,%,,,,,,,,,,,,,,1.00,47.00,0.11
leaf_litter,4,mg.kg,140.00,23.00,12000.00,4.3,91.00,4300.00,820.00,470.00,,91.00,860.00,1300.00,35.00,,,
leaf_litter,5,mg.kg,120.00,22.00,11000.00,4.1,79.00,4200.00,790.00,430.00,,80.00,800.00,1300.00,29.00,,,
leaf_litter,6,mg.kg,140.00,23.00,12000.00,4.1,86.00,4400.00,830.00,470.00,,86.00,850.00,1400.00,34.00,,,
feces,1,%,,,,,,,,,,,,,,1.8,44.00,0.19
feces,2,%,,,,,,,,,,,,,,1.8,44.00,0.18
feces,3,%,,,,,,,,,,,,,,1.7,44.00,0.18
feces,4,%,,,,,,,,,,,,,,1.8,44.00,0.17
feces,5,mg.kg,260.00,87.00,12000.00,6.00,200.00,18000.00,5200.00,110.00,2.7,83.00,2200.00,1900.00,24.00,,,
feces,6,mg.kg,150.00,90.00,12000.00,5.7,200.00,18000.00,5200.00,110.00,2.7,80.00,2300.00,1900.00,26.00,,,
feces,7,mg.kg,310.00,90.00,12000.00,5.8,200.00,19000.00,5400.00,110.00,2.7,84.00,2300.00,2000.00,34.00,,,
feces,8,mg.kg,160.00,89.00,12000.00,5.9,200.00,19000.00,5300.00,110.00,2.7,93.00,2300.00,2000.00,28.00,,,
