cup_number,mosquito_id,size_mm,death,pupation,emergence,time_death,time_pupation,time_emergence,shading,subsidy,larvae,week_of_departure,left_wing_mm,right_wing_mm,dry_mass_mg,sex
41,1,NA,307,NA,NA,5,NA,NA,exposed,litter_feces,present,1,NA,NA,NA,NA
41,2,NA,307,NA,NA,5,NA,NA,exposed,litter_feces,present,1,NA,NA,NA,NA
41,3,NA,307,NA,NA,5,NA,NA,exposed,litter_feces,present,1,NA,NA,NA,NA
17,1,NA,307,NA,NA,5,NA,NA,exposed,litter,present,1,NA,NA,NA,NA
17,2,NA,307,NA,NA,5,NA,NA,exposed,litter,present,1,NA,NA,NA,NA
6,1,NA,307,NA,NA,5,NA,NA,shaded,litter,present,1,NA,NA,NA,NA
5,1,NA,307,NA,NA,5,NA,NA,shaded,litter,present,1,NA,NA,NA,NA
30,1,NA,307,NA,NA,5,NA,NA,shaded,litter_feces,present,1,NA,NA,NA,NA
25,1,NA,307,NA,NA,5,NA,NA,shaded,litter_feces,present,1,NA,NA,NA,NA
37,1,NA,307,NA,NA,5,NA,NA,exposed,litter_feces,present,1,NA,NA,NA,NA
37,2,NA,307,NA,NA,5,NA,NA,exposed,litter_feces,present,1,NA,NA,NA,NA
29,1,NA,307,NA,NA,5,NA,NA,shaded,litter_feces,present,1,NA,NA,NA,NA
18,1,NA,307,NA,NA,5,NA,NA,exposed,litter,present,1,NA,NA,NA,NA
39,1,NA,307,NA,NA,5,NA,NA,exposed,litter_feces,present,1,NA,NA,NA,NA
39,2,NA,307,NA,NA,5,NA,NA,exposed,litter_feces,present,1,NA,NA,NA,NA
39,3,NA,307,NA,NA,5,NA,NA,exposed,litter_feces,present,1,NA,NA,NA,NA
4,1,NA,307,NA,NA,5,NA,NA,shaded,litter,present,1,NA,NA,NA,NA
14,1,NA,307,NA,NA,5,NA,NA,exposed,litter,present,1,NA,NA,NA,NA
14,2,NA,307,NA,NA,5,NA,NA,exposed,litter,present,1,NA,NA,NA,NA
28,1,NA,307,NA,NA,5,NA,NA,shaded,litter_feces,present,1,NA,NA,NA,NA
26,1,NA,307,NA,NA,5,NA,NA,shaded,litter_feces,present,1,NA,NA,NA,NA
26,2,NA,307,NA,NA,5,NA,NA,shaded,litter_feces,present,1,NA,NA,NA,NA
26,3,NA,307,NA,NA,5,NA,NA,shaded,litter_feces,present,1,NA,NA,NA,NA
38,1,NA,307,NA,NA,5,NA,NA,exposed,litter_feces,present,1,NA,NA,NA,NA
38,2,NA,307,NA,NA,5,NA,NA,exposed,litter_feces,present,1,NA,NA,NA,NA
32,1,NA,307,NA,NA,5,NA,NA,shaded,litter_feces,present,1,NA,NA,NA,NA
32,2,NA,307,NA,NA,5,NA,NA,shaded,litter_feces,present,1,NA,NA,NA,NA
1,1,NA,307,NA,NA,5,NA,NA,shaded,litter,present,1,NA,NA,NA,NA
13,1,NA,307,NA,NA,5,NA,NA,exposed,litter,present,1,NA,NA,NA,NA
13,2,NA,307,NA,NA,5,NA,NA,exposed,litter,present,1,NA,NA,NA,NA
13,3,NA,307,NA,NA,5,NA,NA,exposed,litter,present,1,NA,NA,NA,NA
40,1,NA,307,NA,NA,5,NA,NA,exposed,litter_feces,present,1,NA,NA,NA,NA
2,1,NA,307,NA,NA,5,NA,NA,shaded,litter,present,1,NA,NA,NA,NA
42,1,NA,307,NA,NA,5,NA,NA,exposed,litter_feces,present,1,NA,NA,NA,NA
42,2,NA,307,NA,NA,5,NA,NA,exposed,litter_feces,present,1,NA,NA,NA,NA
16,1,NA,307,NA,NA,5,NA,NA,exposed,litter,present,1,NA,NA,NA,NA
27,1,NA,307,NA,NA,5,NA,NA,shaded,litter_feces,present,1,NA,NA,NA,NA
27,2,NA,307,NA,NA,5,NA,NA,shaded,litter_feces,present,1,NA,NA,NA,NA
27,3,NA,307,NA,NA,5,NA,NA,shaded,litter_feces,present,1,NA,NA,NA,NA
27,4,NA,307,NA,NA,5,NA,NA,shaded,litter_feces,present,1,NA,NA,NA,NA
18,2,NA,308,NA,NA,6,NA,NA,exposed,litter,present,1,NA,NA,NA,NA
1,2,NA,308,NA,NA,6,NA,NA,shaded,litter,present,1,NA,NA,NA,NA
41,4,NA,308,NA,NA,6,NA,NA,exposed,litter_feces,present,1,NA,NA,NA,NA
15,1,NA,308,NA,NA,6,NA,NA,exposed,litter,present,1,NA,NA,NA,NA
17,3,NA,309,NA,NA,7,NA,NA,exposed,litter,present,1,NA,NA,NA,NA
15,2,NA,309,NA,NA,7,NA,NA,exposed,litter,present,1,NA,NA,NA,NA
37,3,NA,309,NA,NA,7,NA,NA,exposed,litter_feces,present,1,NA,NA,NA,NA
40,2,NA,309,NA,NA,7,NA,NA,exposed,litter_feces,present,1,NA,NA,NA,NA
38,3,NA,309,NA,NA,7,NA,NA,exposed,litter_feces,present,1,NA,NA,NA,NA
27,5,NA,309,NA,NA,7,NA,NA,shaded,litter_feces,present,1,NA,NA,NA,NA
42,3,NA,310,NA,NA,8,NA,NA,exposed,litter_feces,present,1,NA,NA,NA,NA
37,4,NA,310,NA,NA,8,NA,NA,exposed,litter_feces,present,1,NA,NA,NA,NA
42,4,NA,310,NA,NA,8,NA,NA,exposed,litter_feces,present,1,NA,NA,NA,NA
26,4,NA,310,NA,NA,8,NA,NA,shaded,litter_feces,present,1,NA,NA,NA,NA
26,5,NA,312,NA,NA,10,NA,NA,shaded,litter_feces,present,2,NA,NA,NA,NA
26,6,NA,313,NA,NA,11,NA,NA,shaded,litter_feces,present,2,NA,NA,NA,NA
25,2,NA,313,NA,NA,11,NA,NA,shaded,litter_feces,present,2,NA,NA,NA,NA
25,3,NA,313,NA,NA,11,NA,NA,shaded,litter_feces,present,2,NA,NA,NA,NA
27,6,NA,313,NA,NA,11,NA,NA,shaded,litter_feces,present,2,NA,NA,NA,NA
28,2,NA,313,NA,NA,11,NA,NA,shaded,litter_feces,present,2,NA,NA,NA,NA
29,2,NA,313,NA,NA,11,NA,NA,shaded,litter_feces,present,2,NA,NA,NA,NA
37,5,NA,313,NA,NA,11,NA,NA,exposed,litter_feces,present,2,NA,NA,NA,NA
42,5,NA,NA,314,317,NA,12,15,exposed,litter_feces,present,2,3.35,3.45,0.415,M
28,3,NA,314,NA,NA,12,NA,NA,shaded,litter_feces,present,2,NA,NA,NA,NA
38,4,NA,314,NA,NA,12,NA,NA,exposed,litter_feces,present,2,NA,NA,NA,NA
38,5,NA,314,NA,NA,12,NA,NA,exposed,litter_feces,present,2,NA,NA,NA,NA
29,3,5,314,NA,NA,12,NA,NA,shaded,litter_feces,present,2,NA,NA,NA,NA
32,3,6,314,NA,NA,12,NA,NA,shaded,litter_feces,present,2,NA,NA,NA,NA
40,3,3,314,NA,NA,12,NA,NA,exposed,litter_feces,present,2,NA,NA,NA,NA
25,4,6,315,NA,NA,13,NA,NA,shaded,litter_feces,present,2,NA,NA,NA,NA
39,4,7,315,NA,NA,13,NA,NA,exposed,litter_feces,present,2,NA,NA,NA,NA
41,5,NA,NA,316,319,NA,14,17,exposed,litter_feces,present,2,2.625,2.6,0.297,M
39,5,NA,NA,316,319,NA,14,17,exposed,litter_feces,present,2,3.675,3.9,0.337,F
29,4,NA,NA,316,319,NA,14,17,shaded,litter_feces,present,2,3.15,3.175,0.337,M
2,2,NA,316,NA,NA,14,NA,NA,shaded,litter,present,2,NA,NA,NA,NA
17,4,NA,NA,317,321,NA,15,19,exposed,litter,present,2,3.025,3.1,0.206,F
17,5,4,317,NA,NA,15,NA,NA,exposed,litter,present,2,NA,NA,NA,NA
25,5,5,317,NA,NA,15,NA,NA,shaded,litter_feces,present,2,NA,NA,NA,NA
4,3,4,317,NA,NA,15,NA,NA,shaded,litter,present,2,NA,NA,NA,NA
32,4,NA,NA,317,321,NA,15,19,shaded,litter_feces,present,2,2.875,2.85,0.22,M
40,4,NA,NA,317,321,NA,15,19,exposed,litter_feces,present,2,2.55,2.55,0.181,M
40,5,3,317,NA,NA,15,NA,NA,exposed,litter_feces,present,2,NA,NA,NA,NA
28,4,NA,NA,317,320,NA,15,18,shaded,litter_feces,present,2,3.45,3.425,0.301,F
16,2,4,317,NA,NA,15,NA,NA,exposed,litter,present,2,NA,NA,NA,NA
46,1,NA,NA,NA,317,NA,NA,15,exposed,litter_feces,absent,2,3.225,3.225,0.429,M
42,6,NA,NA,317,321,NA,15,19,exposed,litter_feces,present,2,3.15,3.175,0.346,M
30,2,6,318,NA,NA,16,NA,NA,shaded,litter_feces,present,2,NA,NA,NA,NA
30,3,4,318,NA,NA,16,NA,NA,shaded,litter_feces,present,2,NA,NA,NA,NA
25,6,NA,NA,318,322,NA,16,20,shaded,litter_feces,present,2,3.475,3.45,0.248,F
32,5,NA,NA,318,NA,NA,16,NA,shaded,litter_feces,present,2,3.075,3.05,0.265,M
2,3,3,319,NA,NA,17,NA,NA,shaded,litter,present,3,NA,NA,NA,NA
28,5,NA,NA,319,322,NA,17,20,shaded,litter_feces,present,3,3.275,3.275,0.205,F
29,5,5,320,NA,NA,18,NA,NA,shaded,litter_feces,present,3,NA,NA,NA,NA
2,4,NA,NA,320,322,NA,18,20,shaded,litter,present,3,2.575,2.525,0.139,M
39,6,NA,NA,320,323,NA,18,21,exposed,litter_feces,present,3,3.5,3.5,0.328,F
16,3,NA,NA,320,324,NA,18,22,exposed,litter,present,3,2.7,2.675,0.137,F
30,4,5,321,NA,NA,19,NA,NA,shaded,litter_feces,present,3,NA,NA,NA,NA
38,6,5,321,NA,NA,19,NA,NA,exposed,litter_feces,present,3,NA,NA,NA,NA
6,2,5,321,NA,NA,19,NA,NA,shaded,litter,present,3,NA,NA,NA,NA
6,3,4,321,NA,NA,19,NA,NA,shaded,litter,present,3,NA,NA,NA,NA
29,6,3,321,NA,NA,19,NA,NA,shaded,litter_feces,present,3,NA,NA,NA,NA
32,6,5,321,NA,NA,19,NA,NA,shaded,litter_feces,present,3,NA,NA,NA,NA
40,6,6,321,NA,NA,19,NA,NA,exposed,litter_feces,present,3,NA,NA,NA,NA
30,5,NA,NA,322,325,NA,20,23,shaded,litter_feces,present,3,2.775,2.875,0.2,M
37,6,NA,322,NA,NA,20,NA,NA,exposed,litter_feces,present,3,NA,NA,NA,NA
4,4,3,323,NA,NA,21,NA,NA,shaded,litter,present,3,NA,NA,NA,NA
30,6,6,324,NA,NA,22,NA,NA,shaded,litter_feces,present,3,NA,NA,NA,NA
28,6,7,324,NA,NA,22,NA,NA,shaded,litter_feces,present,3,NA,NA,NA,NA
17,6,NA,NA,324,328,NA,22,26,exposed,litter,present,3,3.25,3.275,0.253,F
18,3,NA,330,324,NA,28,22,NA,exposed,litter,present,3,NA,NA,NA,NA
1,3,NA,330,324,NA,28,22,NA,shaded,litter,present,3,NA,NA,NA,NA
5,2,3,325,NA,NA,23,NA,NA,shaded,litter,present,3,NA,NA,NA,NA
13,4,NA,330,326,NA,28,24,NA,exposed,litter,present,4,NA,NA,NA,NA
13,5,NA,NA,327,330,NA,25,28,exposed,litter,present,4,2.75,2.625,0.157,M
2,5,NA,327,NA,NA,25,NA,NA,shaded,litter,present,4,NA,NA,NA,NA
2,6,4,327,NA,NA,25,NA,NA,shaded,litter,present,4,NA,NA,NA,NA
41,6,6,328,NA,NA,26,NA,NA,exposed,litter_feces,present,4,NA,NA,NA,NA
16,4,4,328,NA,NA,26,NA,NA,exposed,litter,present,4,NA,NA,NA,NA
14,3,NA,NA,328,331,NA,26,29,exposed,litter,present,4,2.475,2.5,0.148,M
14,4,NA,NA,329,333,NA,27,31,exposed,litter,present,4,2.55,2.525,0.145,M
15,3,4,331,NA,NA,29,NA,NA,exposed,litter,present,4,NA,NA,NA,NA
5,3,4,331,NA,NA,29,NA,NA,shaded,litter,present,4,NA,NA,NA,NA
4,5,5,331,NA,NA,29,NA,NA,shaded,litter,present,4,NA,NA,NA,NA
6,4,4,332,NA,NA,30,NA,NA,shaded,litter,present,4,NA,NA,NA,NA
14,5,4,332,NA,NA,30,NA,NA,exposed,litter,present,4,NA,NA,NA,NA
1,4,3,332,NA,NA,30,NA,NA,shaded,litter,present,4,NA,NA,NA,NA
13,6,7,333,NA,NA,31,NA,NA,exposed,litter,present,5,NA,NA,NA,NA
15,4,6,334,NA,NA,32,NA,NA,exposed,litter,present,5,NA,NA,NA,NA
14,6,NA,337,334,NA,35,32,NA,exposed,litter,present,5,NA,NA,NA,NA
16,5,5,335,NA,NA,33,NA,NA,exposed,litter,present,5,NA,NA,NA,NA
16,6,6,337,NA,NA,35,NA,NA,exposed,litter,present,6,NA,NA,NA,NA
6,5,4,337,NA,NA,35,NA,NA,shaded,litter,present,6,NA,NA,NA,NA
5,4,6,338,NA,NA,36,NA,NA,shaded,litter,present,6,NA,NA,NA,NA
18,4,NA,343,338,NA,41,36,NA,exposed,litter,present,6,NA,NA,NA,NA
15,5,NA,339,NA,NA,37,NA,NA,exposed,litter,present,6,NA,NA,NA,NA
6,6,NA,343,339,NA,41,37,NA,shaded,litter,present,6,NA,NA,NA,NA
1,5,5,339,NA,NA,37,NA,NA,shaded,litter,present,6,NA,NA,NA,NA
18,5,4,341,NA,NA,39,NA,NA,exposed,litter,present,6,NA,NA,NA,NA
15,6,5,343,NA,NA,41,NA,NA,exposed,litter,present,6,NA,NA,NA,NA
5,5,6,344,NA,NA,42,NA,NA,shaded,litter,present,6,NA,NA,NA,NA
4,6,NA,346,344,NA,44,42,NA,shaded,litter,present,6,NA,NA,NA,NA
5,6,6,346,NA,NA,44,NA,NA,shaded,litter,present,6,NA,NA,NA,NA
18,6,NA,349,348,NA,47,46,NA,exposed,litter,present,7,NA,NA,NA,NA
1,6,7,353,NA,NA,51,NA,NA,shaded,litter,present,7,NA,NA,NA,NA
